houseName,houseScale,houseArea,houseLayers,houseDirect,community,detailAddress,price
凤台 西城公馆 4室2厅,4室2厅,180㎡,高层（共27层）,南北向,西城公馆,青年路,4722元/㎡
凤台 凤台县新湖社区东区 3室2厅,3室2厅,140㎡,高层（共18层）,南向,凤台县新湖社区东区,新体育场,4642元/㎡
大通 北京城房 3室2厅,3室2厅,101㎡,低层（共27层）,南向,北京城房,大通,4554元/㎡
田家庵 金地·中央美域 4室2厅,4室2厅,126.5㎡,低层（共32层）,南北向,金地·中央美域,其他-山南新区和风大街与杜鹃路交汇处,7114元/㎡
田家庵 六里站橡胶厂 2室1厅,2室1厅,58㎡,中层（共5层）,南向,六里站橡胶厂,国庆中路,2620元/㎡
田家庵 电厂路钟郢小区 2室1厅,2室1厅,64.47㎡,高层（共5层）,南向,电厂路钟郢小区,其他,1830元/㎡
恒大未来城 2室1厅,2室1厅,80㎡,低层（共24层）,南向,恒大未来城,,5625元/㎡
寿县 空港恒大时代新城 3室2厅,3室2厅,125㎡,中层（共23层）,东西向,空港恒大时代新城,寿县新一中,5600元/㎡
田家庵 城建小区 2室1厅,2室1厅,55㎡,高层（共5层）,南向,城建小区,龙湖,3636元/㎡
潘集 滨河新城 2室1厅,2室1厅,90㎡,低层（共27层）,南向,滨河新城,潘集,2222元/㎡
田家庵 金地·中央美域 3室2厅,3室2厅,98㎡,中层（共6层）,南向,金地·中央美域,其他-山南新区和风大街与杜鹃路交汇处,8571元/㎡
田家庵 金大地国际城二期 3室1厅,3室1厅,90.1㎡,中层（共35层）,南向,金大地国际城二期,其他,7214元/㎡
田家庵 双子星座 2室2厅,2室2厅,106㎡,中层（共30层）,南北向,双子星座,龙湖,5849元/㎡
田家庵 海沃世贸商城 3室2厅,3室2厅,100.85㎡,高层（共29层）,南向,海沃世贸商城,火车站-龙湖南路与舜耕路交汇处,6921元/㎡
山南新区 联华泉山湖 2室2厅,2室2厅,85㎡,中层（共7层）,南北向,联华泉山湖,山南新区-淮南大道(原206国道)泉山湖水库,8470元/㎡
谢家集 卧龙山庄 2室1厅,2室1厅,80㎡,中层（共6层）,南向,卧龙山庄,谢家集-卧龙山庄,3250元/㎡
田家庵 金大地龙湖中心 3室2厅,3室2厅,100㎡,高层（共33层）,南向,金大地龙湖中心,龙湖路-金大地龙湖中心,8800元/㎡
凤台 西城公馆 4室2厅,4室2厅,180㎡,高层（共27层）,南北向,西城公馆,凤城大道,4722元/㎡
山南新区 晟地绿园 3室2厅,3室2厅,119㎡,低层（共6层）,南向,晟地绿园,山南新区-晟地绿园,6638元/㎡
大通 安徽淮南市田家庵区阳光国际城 3室2厅,3室2厅,104㎡,高层（共11层）,南向,安徽淮南市田家庵区阳,大通,11538元/㎡
窑口 4室1厅,4室1厅,100㎡,高层（共2层）,西向,窑口,,4600元/㎡
寿县 千树湾 4室2厅,4室2厅,110㎡,高层（共34层）,南向,千树湾,寿县新一中,6181元/㎡
田家庵 山南国宾府 3室2厅,3室2厅,147㎡,中层（共17层）,南向,山南国宾府,龙湖,8843元/㎡
田家庵 化建村 2室1厅,2室1厅,68.9㎡,高层（共7层）,南向,化建村,泉山,2322元/㎡
大通 万茂华府 3室2厅,3室2厅,116㎡,低层（共34层）,南北向,万茂华府,其他,7241元/㎡
田家庵 金大地龙湖中心 2室1厅,2室1厅,71.5㎡,高层（共27层）,南北向,金大地龙湖中心,龙湖路-金大地龙湖中心,5594元/㎡
田家庵 金大地龙湖中心 2室1厅,2室1厅,71.5㎡,高层（共27层）,南北向,金大地龙湖中心,龙湖路-金大地龙湖中心,5314元/㎡
田家庵 金地中央美域公寓 1室1厅,1室1厅,41.7㎡,高层（共7层）,南向,金地中央美域公寓,其他,6714元/㎡
田家庵 恒大御府 3室2厅,3室2厅,131.44㎡,低层（共33层）,南向,恒大御府,洞山,7912元/㎡
经济开发区 保来国际城 2室2厅,2室2厅,79.36㎡,高层（共21层）,南北向,保来国际城,经济开发区,6199元/㎡
大通 碧荷亭 2室1厅,2室1厅,88㎡,中层（共16层）,南北向,碧荷亭,大通,8522元/㎡
田家庵 恒大御府 3室2厅,3室2厅,131㎡,中层（共33层）,南向,恒大御府,洞山,7786元/㎡
田家庵 恒大御府 3室2厅,3室2厅,115㎡,中层（共33层）,南向,恒大御府,洞山,7913元/㎡
凤台 西城公馆 4室2厅,4室2厅,141.6㎡,高层（共27层）,南北向,西城公馆,胶州路,6002元/㎡
潘集 滨河新城 2室1厅,2室1厅,90㎡,中层（共27层）,南向,滨河新城,潘集,2222元/㎡
山南新区 观湖名居 3室1厅,3室1厅,126㎡,高层（共34层）,南北向,观湖名居,山南新区-观湖名居,7142元/㎡
凤台 西城公馆 4室2厅,4室2厅,141.6㎡,高层（共27层）,南北向,西城公馆,凤城大道,6002元/㎡
潘集 滨河新城 2室1厅,2室1厅,86.7㎡,低层（共27层）,南向,滨河新城,潘集,2422元/㎡
大通 顺发泽润园 2室1厅,2室1厅,88.9㎡,中层（共6层）,南北向,顺发泽润园,城东-九大路与合徐高速连接处交汇处东南角,5961元/㎡
山南新区 金大地英伦联邦 3室2厅,3室2厅,99.83㎡,中层（共33层）,南北向,金大地英伦联邦,山南新区-淮南市山南新区淮河大道与春华大街交叉口,7612元/㎡
谢家集 勘探村 3室1厅,3室1厅,65㎡,高层（共4层）,南向,勘探村,谢家集,2076元/㎡
寿县 保来国际城 2室1厅,2室1厅,78.77㎡,低层（共24层）,南向,保来国际城,寿县新一中,6982元/㎡
田家庵 百花园 4室3厅,4室3厅,115.61㎡,高层（共5层）,东向,百花园,国庆中路,4151元/㎡
居仁村一区 3室1厅,3室1厅,89.7㎡,中层（共6层）,南向,居仁村一区,,3957元/㎡
谢家集 新家园A区 2室1厅,2室1厅,101㎡,高层（共6层）,南向,新家园A区,谢家集,2277元/㎡
田家庵 嘉鹏领城 2室1厅,2室1厅,89㎡,中层（共6层）,南北向,嘉鹏领城,其他-淮南市田家庵区朝阳东路99号,7078元/㎡
大通 顺发泽润园 2室1厅,2室1厅,77㎡,低层（共6层）,南向,顺发泽润园,城东,5454元/㎡
田家庵 春晓名城 2室2厅,2室2厅,89㎡,中层（共6层）,南向,春晓名城,其他,5393元/㎡
田家庵 春晓名城 2室2厅,2室2厅,89㎡,中层（共6层）,南向,春晓名城,其他,5393元/㎡
田家庵 海沃世贸商城 1室1厅,1室1厅,54㎡,中层（共32层）,北向,海沃世贸商城,火车站-龙湖南路与舜耕路交汇处,5555元/㎡
凤台 凤台金汇广场地下商业街商 1室0厅,1室0厅,42㎡,低层（共1层）,南向,凤台金汇广场地下商业,农水路,21428元/㎡
凤台 凤台金汇广场 1室0厅,1室0厅,42㎡,高层（共1层）,南向,凤台金汇广场,青年路,21428元/㎡
田家庵 网云小镇 4室2厅,4室2厅,123.09㎡,中层（共23层）,南向,网云小镇,其他,5280元/㎡
山南新区 金地滟澜山 1室0厅,1室0厅,47.19㎡,中层（共2层）,南北向,金地滟澜山,山南新区-淮河大道与南纬二路交叉口西北角,16528元/㎡
凤台 金地新天地 3室2厅,3室2厅,158㎡,中层（共18层）,南北向,金地新天地,青年路-金地新天地,5886元/㎡
寿县 文一叶语湾 3室2厅,3室2厅,104㎡,高层（共10层）,南向,文一叶语湾,寿县新一中,7596元/㎡
田家庵 裕安三村 5室2厅,5室2厅,187.42㎡,高层（共6层）,南北向,裕安三村,洞山,4908元/㎡
田家庵 惠利花园D区 2室1厅,2室1厅,85.68㎡,中层（共12层）,西南向,惠利花园D区,其他,5368元/㎡
田家庵 金茂阳光花园 2室2厅,2室2厅,113㎡,中层（共6层）,南向,金茂阳光花园,其他,4991元/㎡
山南新区 联华泉山湖 3室2厅,3室2厅,98㎡,低层（共7层）,南向,联华泉山湖,山南新区-淮南大道(原206国道)泉山湖水库,6428元/㎡
田家庵 供电局72户 2室1厅,2室1厅,64㎡,高层（共6层）,南向,供电局72户,淮舜,2812元/㎡
田家庵 东城国际 3室1厅,3室1厅,94.5㎡,低层（共10层）,南向,东城国际,国庆中路-国庆东路与建兴路交叉口,5714元/㎡
田家庵 奥林花园 3室2厅,3室2厅,136.8㎡,低层（共25层）,南北向,奥林花园,国庆中路-淮南市人民南路,5774元/㎡
田家庵 新光花园 3室2厅,3室2厅,139.6㎡,中层（共18层）,南向,新光花园,洞山,6805元/㎡
田家庵 奥林花园 3室2厅,3室2厅,136㎡,低层（共25层）,南北向,奥林花园,国庆中路,5808元/㎡
凤台 西城公馆 4室2厅,4室2厅,141.6㎡,高层（共27层）,南北向,西城公馆,凤城大道,6002元/㎡
山南新区 金地滟澜山 4室2厅,4室2厅,137㎡,低层（共8层）,南向,金地滟澜山,山南新区-淮河大道与南纬二路交叉口西北角,10072元/㎡
凤台 前马场 2室1厅,2室1厅,85㎡,高层（共6层）,南北向,前马场,凤城大道,1764元/㎡
潘集 绿景宝辰花园 3室2厅,3室2厅,107㎡,低层（共6层）,南向,绿景宝辰花园,潘集,3644元/㎡
田家庵 东方名珠 2室2厅,2室2厅,89.52㎡,高层（共18层）,南北向,东方名珠,龙湖路-朝阳东路与淮舜路交汇处,7037元/㎡
凤台 翠苑康城 5室2厅,5室2厅,200㎡,高层（共12层）,南北向,翠苑康城,青年路,5500元/㎡
寿县 文一叶雨湾 3室1厅,3室1厅,94㎡,高层（共10层）,南向,文一叶雨湾,寿县新一中,10000元/㎡
田家庵 钟山园旁针织厂 2室1厅,2室1厅,65㎡,中层（共6层）,南向,钟山园旁针织厂,淮舜,2461元/㎡
田家庵 泉林村 2室1厅,2室1厅,57.68㎡,中层（共5层）,南向,泉林村,洞山,5201元/㎡
曹庵镇 3室2厅,3室2厅,190㎡,高层（共2层）,南北向,曹庵镇,,1526元/㎡
大通 自建房 3室2厅,3室2厅,190㎡,高层（共2层）,南北向,自建房,大通,1526元/㎡
田家庵 淮河公馆 3室1厅,3室1厅,109㎡,中层（共6层）,南向,淮河公馆,其他,6055元/㎡
田家庵 翡翠苑 2室1厅,2室1厅,85㎡,高层（共6层）,南向,翡翠苑,国庆中路,3529元/㎡
田家庵 泉山化肥厂 2室2厅,2室2厅,91㎡,高层（共7层）,北向,泉山化肥厂,泉山,2527元/㎡
田家庵 春晓名城 2室2厅,2室2厅,89㎡,中层（共6层）,南向,春晓名城,其他,5617元/㎡
田家庵 申欣苑 2室1厅,2室1厅,91㎡,高层（共6层）,南向,申欣苑,国庆中路,5934元/㎡
田家庵 金茂阳光花园 2室2厅,2室2厅,113㎡,中层（共6层）,南向,金茂阳光花园,其他,4955元/㎡
凤台 西城公馆 4室2厅,4室2厅,141.6㎡,高层（共27层）,南北向,西城公馆,凤城大道,6002元/㎡
寿县 文一叶雨湾 3室2厅,3室2厅,96.6㎡,中层（共18层）,南北向,文一叶雨湾,寿春镇,7246元/㎡
大通 顺发泽润园 2室1厅,2室1厅,77.6㎡,高层（共6层）,东向,顺发泽润园,城东-九大路与合徐高速连接处交汇处东南角,6314元/㎡
田家庵 恒大御府 3室2厅,3室2厅,129.09㎡,低层（共40层）,南向,恒大御府,其他,8133元/㎡
田家庵 翡翠苑 3室1厅,3室1厅,106㎡,中层（共6层）,南向,翡翠苑,龙湖,4009元/㎡
寿县 御景学府 3室2厅,3室2厅,129㎡,中层（共29层）,南北向,御景学府,寿春镇,8914元/㎡
田家庵 自建房 3室1厅,3室1厅,100㎡,高层（共6层）,南北向,自建房,其他,650元/㎡
凤台 西城公馆 4室2厅,4室2厅,141.6㎡,高层（共27层）,南北向,西城公馆,凤城大道,6002元/㎡
毛集实验区 淮南毛集曹集临街铺面急售价格可谈29万251平3室2厅2卫!! 3室2厅,3室2厅,251㎡,高层（共2层）,南北向,淮南毛集曹集临街铺面,毛集实验区,1155元/㎡
田家庵 前锋二村 3室1厅,3室1厅,107.24㎡,高层（共5层）,南北向,前锋二村,其他,8392元/㎡
八公山 新淮小区 2室2厅,2室2厅,100.6㎡,低层（共6层）,南向,新淮小区,八公山,1789元/㎡
山南新区 西湖春天 3室2厅,3室2厅,119.8㎡,中层（共5层）,南北向,西湖春天,山南新区-淮河大道与南纬三路交汇处向西200米,7512元/㎡
田家庵 恒大御府 3室2厅,3室2厅,118㎡,中层（共46层）,南向,恒大御府,洞山,8474元/㎡
山南新区 金大地英伦联邦 4室2厅,4室2厅,136.6㎡,低层（共8层）,东北向,金大地英伦联邦,山南新区-淮南市山南新区淮河大道与春华大街交叉口,7320元/㎡
田家庵 华声苑 3室2厅,3室2厅,131㎡,高层（共6层）,南北向,华声苑,其他-安徽省淮南市田家庵区陈洞南路,5496元/㎡
大通 易居东方城 3室1厅,3室1厅,123㎡,中层（共32层）,西向,易居东方城,城东-淮南市大通区沿田大路,4552元/㎡
田家庵 协和嘉苑 3室2厅,3室2厅,122㎡,中层（共28层）,东向,协和嘉苑,龙湖-淮滨西路与人民北路交汇处 市人民医院对面,7049元/㎡
大通 洛电新村 2室1厅,2室1厅,52.48㎡,高层（共5层）,南向,洛电新村,大通,952元/㎡
田家庵 淮南山南东昌庭院 4室2厅,4室2厅,120.26㎡,中层（共32层）,西向,淮南山南东昌庭院,其他,7566元/㎡
田家庵 恒大御府 3室2厅,3室2厅,131㎡,低层（共33层）,南向,恒大御府,洞山,7709元/㎡
谢家集 西都绿洲 5室3厅,5室3厅,269.3㎡,高层（共11层）,南北向,西都绿洲,"蔡新路-谢李路莲花市场西侧,20中旁",2079元/㎡
山南新区 广弘城国际社区 3室2厅,3室2厅,128.17㎡,中层（共18层）,南向,广弘城国际社区,山南新区-淮河大道与南纬山路交汇处西南角,8582元/㎡
田家庵 恒大御府 3室2厅,3室2厅,127㎡,高层（共33层）,南向,恒大御府,洞山,7952元/㎡
寿县 楚都小区 2室1厅,2室1厅,80㎡,高层（共6层）,南北向,楚都小区,寿县新一中,3500元/㎡
田家庵 恒大御府 3室2厅,3室2厅,132㎡,低层（共33层）,南向,恒大御府,洞山,7916元/㎡
田家庵 恒大御府 4室2厅,4室2厅,142.5㎡,中层（共33层）,南向,恒大御府,洞山,9052元/㎡
田家庵 金大地龙湖中心 2室1厅,2室1厅,71.5㎡,高层（共27层）,东西向,金大地龙湖中心,龙湖路-金大地龙湖中心,5314元/㎡
凤台 凤凰首府 3室2厅,3室2厅,118.5㎡,中层（共17层）,南北向,凤凰首府,新体育场,5485元/㎡
田家庵 力达明和绿洲 3室2厅,3室2厅,158㎡,低层（共18层）,南北向,力达明和绿洲,其他,7974元/㎡
山南新区 西湖春天 3室2厅,3室2厅,112㎡,高层（共6层）,南北向,西湖春天,山南新区-淮河大道与南纬三路交汇处向西200米,8571元/㎡
田家庵 奥林花园小区。 2室2厅,2室2厅,112.11㎡,低层（共24层）,南北向,奥林花园小区。,国庆中路,5351元/㎡
寿县 寿县北街党校居民楼 3室1厅,3室1厅,87㎡,高层（共5层）,南向,寿县北街党校居民楼,寿春镇,3563元/㎡
山南新区 金大地英伦联邦 2室2厅,2室2厅,81.3㎡,低层（共33层）,南北向,金大地英伦联邦,山南新区-淮南市山南新区淮河大道与春华大街交叉口,7011元/㎡
田家庵 金大地龙湖中心 4室2厅,4室2厅,135㎡,高层（共33层）,南向,金大地龙湖中心,龙湖路-金大地龙湖中心,8518元/㎡
田家庵 惠利花园城翰林华府 3室2厅,3室2厅,141.2㎡,高层（共6层）,南北向,惠利花园城翰林华府,洞山,4957元/㎡
潘集 潘集新原装小区 4室2厅,4室2厅,150㎡,高层（共6层）,南北向,潘集新原装小区,潘集,1933元/㎡
